"Row.names","Date","EP.experimentator...Imaging.acquisition","Condition","ID.embryo","Cell.Segmentation","Threshold.nuclei","Threshold.membrane","Surface.Segmentation","Threshold.surface","Merged.cells.to.get.new.surface.information.from.cell.segmentation","Shortest.distance.between.ATM.group.to.TVC.group..from.edge.to.edge..µm","Comment.on.the.distance","Comment.on.the.embryo","Comment.detailed","Details.phenotype","Quality.of.segmentation.based.on.labelling..good..correct..not.good.","Comments","Name","Phenotype","migration.perturbed","division.perturbed","orientation.perturbed"
"Depdc.slide1_image3_left.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide1_image3_left","yes",100,16.2,"-","-","yes","38.9","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","correct","","Depdc.slide1_image3_left.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide1_image3_left.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide1_image3_left","yes",87.8,37.5,"-","-","yes","28","-","look like WT","look like WT","all look like WT","good","-","Depdc.slide1_image3_left.2020_10_06","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image3_right.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide1_image3_right","yes",100,27.2,"-","-","yes","29.4","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","good","","Depdc.slide1_image3_right.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide1_image3_right.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide1_image3_right","yes",87.8,35,"-","-","yes","31.8","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","-","Depdc.slide1_image3_right.2020_10_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide1_image3.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide1_image3","yes",112,43.2,"-","-","yes","18.9","-","problem orientation","TVC cell alignment","one of the TVCs divided not in the medio-lateral orientation, so cells are aligned","not good","","Depdc.slide1_image3.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide1_image4_left.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide1_image4_left","yes",135,40.2,"-","-","yes","33.6","-","look like WT","look like WT","all look like WT","good","","Depdc.slide1_image4_left.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image4_right.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide1_image4_right","yes",135,30.9,"-","-","yes","27.3","-","look like WT","look like WT","all look like WT","good","","Depdc.slide1_image4_right.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image4.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide1_image4","yes",45,13.6,"-","-","yes","36.2","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned","not good","","Depdc.slide1_image4.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide1_image4.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide1_image4","yes",86.5,35.2,"-","-","yes","33.3","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","correct","-","Depdc.slide1_image4.2020_10_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide1_image5_right.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide1_image5_right","yes",82.8,40.3,"-","-","yes","23.8","-","problem orientation","TVC cell alignment","The 2 TVC divided not in the medio-lateral orientation, so cells are aligned","not good","-","Depdc.slide1_image5_right.2020_10_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide1_image5.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide1_image5","yes",95,16.8,"-","-","yes","13.9","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","good","","Depdc.slide1_image5.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide1_image5.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide1_image5","yes",108,33.4,"-","-","yes","30.5","-","look like WT","look like WT","all look like WT","good","","Depdc.slide1_image5.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image6.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide1_image6","yes",84.8,21.6,"-","-","yes","24.4","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","correct","","Depdc.slide1_image6.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide1_image6.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide1_image6","yes",102,24.2,"-","-","yes","30.6","-","look like WT","look like WT","all look like WT","good","","Depdc.slide1_image6.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image6.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide1_image6","yes",84.3,50.3,"-","-","yes","22","-","problem orientation","TVC cell alignment","The 2 TVC divided not in the medio-lateral orientation, so cells are aligned","good","-","Depdc.slide1_image6.2020_10_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide1_image7_left.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide1_image7_left","yes",110,18,"-","-","yes","35.3","-","look like WT","look like WT","all look like WT","correct","","Depdc.slide1_image7_left.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image7_left.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide1_image7_left","yes",80.6,40,"-","-","yes","20.6","-","look like WT","look like WT","all look like WT","good","-","Depdc.slide1_image7_left.2020_10_06","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image7_right.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide1_image7_right","yes",113,22.5,"-","-","yes","28.7","-","look like WT","look like WT","all look like WT","good","","Depdc.slide1_image7_right.2019_08_29","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image7_right.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide1_image7_right","yes",115,27.3,"-","-","yes","19.7","-","problem orientation","TVC cell alignment","the two TVCs divied not in the medio-lateral orientation, so all cells are aligned","good","","Depdc.slide1_image7_right.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide1_image8_left.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide1_image8_left","yes",76.6,20,"-","-","yes","21.1","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","good","","Depdc.slide1_image8_left.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide1_image8_left.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide1_image8_left","yes",135,20.3,"-","-","yes","0","groups connected","problem migration and orientation","enhanced ATM migration / TVC cell alignment","one of the ATM migrated with the TVCs in the trunk, and one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Depdc.slide1_image8_left.2020_02_06","migration/orientation perturbed",TRUE,FALSE,TRUE
"Depdc.slide1_image8_left.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide1_image8_left","yes",88,35.2,"-","-","yes","44.6","-","look like WT","look like WT","all look like WT","good","-","Depdc.slide1_image8_left.2020_10_06","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image8_right.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide1_image8_right","yes",115,27.9,"-","-","yes","37.8","-","look like WT","look like WT","all look like WT","good","","Depdc.slide1_image8_right.2019_08_29","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image8_right.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide1_image8_right","yes",111,23.4,"-","-","yes","33","-","look like WT","look like WT","all look like WT","good","","Depdc.slide1_image8_right.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image8_right.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide1_image8_right","yes",80,29.4,"-","-","yes","36","-","look like WT","look like WT","all look like WT","good","-","Depdc.slide1_image8_right.2020_10_06","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image9_left.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide1_image9_left","yes",90,29.1,"-","-","yes","25","-","look like WT","look like WT","all look like WT","good","","Depdc.slide1_image9_left.2019_08_29","WT",FALSE,FALSE,FALSE
"Depdc.slide1_image9.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide1_image9","yes",92.9,34,"-","-","yes","39.5","-","problem orientation","TVC cell alignment","the two TVCs divied not in the medio-lateral orientation, so all cells are aligned","not good","","Depdc.slide1_image9.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide1_image9.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide1_image9","yes",78.6,32.4,"-","-","yes","24.7","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","-","Depdc.slide1_image9.2020_10_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image1.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image1","yes",86.8,21.9,"-","-","yes","32.4","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","good","","Depdc.slide2_image1.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image1.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image1","yes",125,50.7,"-","-","yes","29.2","-","problem orientation","TVC cell alignment","the two TVCs divied not in the medio-lateral orientation, so all cells are aligned","correct","","Depdc.slide2_image1.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image1.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide2_image1","yes",79.3,37.4,"-","-","yes","40.5","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","correct","-","Depdc.slide2_image1.2020_10_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image10_left.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image10_left","yes",120,17.1,"-","-","yes","43.5","-","look like WT","look like WT","all look like WT","good","","Depdc.slide2_image10_left.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image10_right.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image10_right","yes",83.2,58,"-","-","yes","27.7","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","not good","","Depdc.slide2_image10_right.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image10_right.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image10_right","yes",120,34.2,"-","-","yes","43.5","-","look like WT","look like WT","all look like WT","good","","Depdc.slide2_image10_right.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image11_left.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image11_left","yes",97.2,35.6,"-","-","yes","27.3","-","problem orientation","TVC cell alignment","one of the TVCs divided not in the medio-lateral orientation, so cells are aligned","good","","Depdc.slide2_image11_left.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image11_right.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image11_right","yes",79.3,15.1,"-","-","yes","34.4","-","look like WT","look like WT","all look like WT","not good","","Depdc.slide2_image11_right.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image11.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image11","yes",96.2,33.2,"-","-","yes","23.6","-","problem disposition TVC","problem disposition TVC","all look like WT (but the group is not oriented medio-lateral, but no feature to see that)","good","","Depdc.slide2_image11.2019_08_29","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image12_left.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image12_left","yes",98.3,22.5,"-","-","yes","35.6","-","look like WT","look like WT","all look like WT","good","","Depdc.slide2_image12_left.2019_08_29","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image12_left.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image12_left","yes",85.5,16.7,"-","-","yes","30.6","-","look like WT","look like WT","all look like WT","good","","Depdc.slide2_image12_left.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image12_right.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image12_right","yes",89.7,22.5,"-","-","yes","27","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","good","","Depdc.slide2_image12_right.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image12_right.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image12_right","yes",113,25,"-","-","yes","23.9","-","look like WT","look like WT","all look like WT","good","","Depdc.slide2_image12_right.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image13.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image13","yes",76.8,24.5,"-","-","yes","22.6","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","good","","Depdc.slide2_image13.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image14.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image14","yes",100,38.8,"-","-","yes","44.6","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","not good","","Depdc.slide2_image14.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image15.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image15","yes",120,32.8,"-","-","yes","32","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","good","","Depdc.slide2_image15.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image16.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image16","yes",130,38,"-","-","yes","43.6","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned","good","","Depdc.slide2_image16.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image17.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image17","yes",80,24.8,"-","-","yes","33.4","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","good","","Depdc.slide2_image17.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image19_left.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image19_left","yes",98.3,32.6,"-","-","yes","21.5","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","good","","Depdc.slide2_image19_left.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image2_left.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image2_left","yes",80,28,"-","-","yes","34.9","-","look like WT","look like WT","all look like WT","good","","Depdc.slide2_image2_left.2019_08_29","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image2_left.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image2_left","yes",99.4,37.4,"-","-","yes","26.9","-","problem orientation","TVC cell alignment","one of the TVCs divided not in the medio-lateral orientation, so cells are aligned","good","","Depdc.slide2_image2_left.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image2_left.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide2_image2_left","yes",84.5,32.6,"-","-","yes","45.8","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","correct","-","Depdc.slide2_image2_left.2020_10_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image2_right.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image2_right","yes",94,36,"-","-","yes","20.5","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","good","","Depdc.slide2_image2_right.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image2_right.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image2_right","yes",99.4,37.4,"-","-","yes","26.7","-","problem orientation","TVC cell alignment","one of the TVCs divided not in the medio-lateral orientation, so cells are aligned","good","","Depdc.slide2_image2_right.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image2_right.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide2_image2_right","yes",84.5,32.6,"-","-","yes","38.2","-","look like WT","look like WT","all look like WT","correct","-","Depdc.slide2_image2_right.2020_10_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image20.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image20","yes",116,32,"-","-","yes","13.5","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","correct","","Depdc.slide2_image20.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image21.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image21","yes",114,33.5,"-","-","yes","25.8","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned","correct","","Depdc.slide2_image21.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image3_left.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide2_image3_left","yes",60.3,29.9,"-","-","yes","38.2","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","-","Depdc.slide2_image3_left.2020_10_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image3_right.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image3_right","yes",78,33.3,"-","-","yes","33.6","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned","correct","","Depdc.slide2_image3_right.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image3_right.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide2_image3_right","yes",75.1,40.2,"-","-","yes","41.4","-","look like WT","look like WT","all look like WT","good","-","Depdc.slide2_image3_right.2020_10_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image3.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image3","yes",131,30.3,"-","-","yes","31.6","-","look like WT","look like WT","all look like WT","good","","Depdc.slide2_image3.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image4.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image4","yes",124,32.3,"-","-","yes","26.4","-","look like WT","look like WT","all look like WT","good","","Depdc.slide2_image4.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image4.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide2_image4","yes",88.3,30.6,"-","-","yes","31.1","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","-","Depdc.slide2_image4.2020_10_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image5_left.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image5_left","yes",91.8,25.4,"-","-","yes","35.9","-","look like WT","look like WT","all look like WT","good","","Depdc.slide2_image5_left.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image5_left.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide2_image5_left","yes",83.6,27.7,"-","-","yes","26.9","-","problem division (not seen in segmentation)","inhibited TVC division","one TVC divided but not completely (not seen in the segmentation, because the nuclei are far enough to be segmented separately)","good","-","Depdc.slide2_image5_left.2020_10_06","division perturbed",FALSE,TRUE,FALSE
"Depdc.slide2_image5_right.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image5_right","yes",71.9,25.4,"-","-","yes","35.7","-","problem orientation","TVC cell alignment","one of the TVCs divided not in the medio-lateral orientation, so cells are aligned","good","","Depdc.slide2_image5_right.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image5_right.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide2_image5_right","yes",83.6,27.7,"-","-","yes","38.1","-","look like WT","look like WT","all look like WT","correct","-","Depdc.slide2_image5_right.2020_10_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image5.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image5","yes",87.5,36,"-","-","yes","43.1","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","not good","pb segmentation for atm","Depdc.slide2_image5.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image6.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image6","yes",115,33,"-","-","yes","22.9","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, so all cells are aligned","correct","","Depdc.slide2_image6.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image6.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image6","yes",110,30.5,"-","-","yes","22.5","-","problem orientation","TVC cell alignment","one of the TVCs divided not in the medio-lateral orientation, so cells are aligned","good","","Depdc.slide2_image6.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image6.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide2_image6","yes",74.8,37.4,"-","-","yes","28.6","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","not good","-","Depdc.slide2_image6.2020_10_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image7_left.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image7_left","yes",116,29.2,"-","-","yes","22.5","-","look like WT","look like WT","all look like WT","correct","","Depdc.slide2_image7_left.2020_02_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image7_left.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide2_image7_left","yes",45.3,27.6,"-","-","yes","24.3","-","look like WT","look like WT","all look like WT","good","-","Depdc.slide2_image7_left.2020_10_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image7_right.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image7_right","yes",125,34.6,"-","-","yes","54.1","-","problem orientation","TVC cell alignment","one of the TVCs divided not in the medio-lateral orientation, so cells are aligned","good","","Depdc.slide2_image7_right.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image7_right.2020_10_06","2020_10_06","Margaux Failla","Depdc","slide2_image7_right","yes",74.8,27.6,"-","-","yes","20.5","-","look like WT","look like WT","all look like WT","good","-","Depdc.slide2_image7_right.2020_10_06","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image7.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image7","yes",95.1,42,"-","-","yes","21.8","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","not good","","Depdc.slide2_image7.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image8.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image8","yes",100,46.7,"-","-","yes","20.3","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned ","good","","Depdc.slide2_image8.2019_08_29","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image8.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image8","yes",111,35.6,"-","-","yes","39.7","-","problem orientation","TVC cell alignment","the two TVCs divied not in the medio-lateral orientation, so all cells are aligned","good","","Depdc.slide2_image8.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Depdc.slide2_image9.2019_08_29","2019_08_29","Margaux Failla","Depdc","slide2_image9","yes",110,35.2,"-","-","yes","22.7","-","look like WT","look like WT","all look like WT","correct","","Depdc.slide2_image9.2019_08_29","WT",FALSE,FALSE,FALSE
"Depdc.slide2_image9.2020_02_06","2020_02_06","Margaux Failla","Depdc","slide2_image9","yes",109,48.2,"-","-","yes","0","groups connected","problem migration and orientation","inhibited TVC migration / TVC cell alignment","the migration was not done completely, one of the TVCs is connected to the ATMs and one of the TVCs divided not in the medio-lateral orientation, so cells are aligned","good","","Depdc.slide2_image9.2020_02_06","migration/orientation perturbed",TRUE,FALSE,TRUE
"Dync2h.image1_right.2020_06_17","2020_06_17","Yelena Bernadskaya","Dync2h","image1_right","yes",55.1,16.2,"-","-","yes","21.8","-","look like WT","look like WT","all look like WT","good","","Dync2h.image1_right.2020_06_17","WT",FALSE,FALSE,FALSE
"Dync2h.image10.2020_06_17","2020_06_17","Yelena Bernadskaya","Dync2h","image10","yes",18.9,17,"-","-","yes","36.9","-","look like WT","look like WT","all look like WT","good","Don't see all the ATM cells (image not centered)","Dync2h.image10.2020_06_17","WT",FALSE,FALSE,FALSE
"Dync2h.image11_left.2020_06_17","2020_06_17","Yelena Bernadskaya","Dync2h","image11_left","yes",36.6,17.6,"-","-","yes","44.1","-","look like WT","look like WT","all look like WT","good","-","Dync2h.image11_left.2020_06_17","WT",FALSE,FALSE,FALSE
"Dync2h.image11_right.2020_06_17","2020_06_17","Yelena Bernadskaya","Dync2h","image11_right","yes",24.8,17.6,"-","-","yes","39.7","-","look like WT","look like WT","all look like WT","good","-","Dync2h.image11_right.2020_06_17","WT",FALSE,FALSE,FALSE
"Dync2h.image12.2020_06_17","2020_06_17","Yelena Bernadskaya","Dync2h","image12","yes",35.8,20.4,"-","-","yes","14.4","-","problem division","inhibited TVC division","one of the TVC didn't divide completely (but not seen in the segmentation because nuclei enough far from each other so considered as 2 cells)","correct","Ambiguous phenotype, difficult to identify the cells","Dync2h.image12.2020_06_17","division perturbed",FALSE,TRUE,FALSE
"Dync2h.image13.2020_06_17","2020_06_17","Yelena Bernadskaya","Dync2h","image13","yes",28.9,17.8,"-","-","yes","0","groups connected","problem migration and division","enhanced ATM migration / inhibited TVC division","the ATMs migrated in the trunk, they are still attached to the TVCs; and one of the TVC didn't divide in the trunk","good","-","Dync2h.image13.2020_06_17","migration/division perturbed",TRUE,TRUE,FALSE
"Dync2h.image17.2020_06_17","2020_06_17","Yelena Bernadskaya","Dync2h","image17","yes",54.8,24.7,"-","-","yes","19.5","-","problem migration","enhanced ATM migration","one of the ATM migrated in the trunk with the TVCs","good","-","Dync2h.image17.2020_06_17","migration perturbed",TRUE,FALSE,FALSE
"Dync2h.image18.2020_06_17","2020_06_17","Yelena Bernadskaya","Dync2h","image18","yes",23.5,17,"-","-","yes","16.4","-","problem division","inhibited TVC division","one of the TVC didn't divide completely (seen in the segmentation because nuclei enough close to each other so considered as 1 cell)","good","-","Dync2h.image18.2020_06_17","division perturbed",FALSE,TRUE,FALSE
"Dync2h.image19_left.2020_06_17","2020_06_17","Yelena Bernadskaya","Dync2h","image19_left","yes",31,16.8,"-","-","yes","16.7","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","not good","Ambiguous phenotype between left and right side","Dync2h.image19_left.2020_06_17","division perturbed",FALSE,TRUE,FALSE
"Dync2h.image19_right.2020_06_17","2020_06_17","Yelena Bernadskaya","Dync2h","image19_right","yes",31,16.8,"-","-","yes","14.9","-","look like WT","look like WT","all look like WT","not good","Ambiguous phenotype between left and right side","Dync2h.image19_right.2020_06_17","WT",FALSE,FALSE,FALSE
"Dync2h.image2.2020_06_17","2020_06_17","Yelena Bernadskaya","Dync2h","image2","yes",35.1,16.8,"-","-","yes","32.1","-","look like WT","look like WT","all look like WT","good","Don't see all the ATM cells (image not centered)","Dync2h.image2.2020_06_17","WT",FALSE,FALSE,FALSE
"Dync2h.image20_left.2020_06_17","2020_06_17","Yelena Bernadskaya","Dync2h","image20_left","yes",30,34.9,"-","-","yes","26.2","-","problem migration","inhibited TVC migration","one of the TVC didn't migrate, it stayed in the tail and divided","good","-","Dync2h.image20_left.2020_06_17","migration perturbed",TRUE,FALSE,FALSE
